Wall time,Step,Value
1702401054.6226692,5000,4.6974687576293945
1702401138.5457957,10000,21.549854278564453
1702401218.7828665,15000,35.70138168334961
1702401302.9331956,20000,1.6092877388000488
1702401389.8096993,25000,6.804620742797852
1702401472.2254946,30000,24.50521469116211
1702401554.8973246,35000,32.59248733520508
1702401637.104918,40000,33.21846008300781
1702401725.5075986,45000,44.238704681396484
1702401808.554199,50000,33.26844787597656
1702401894.3223917,55000,-32.787330627441406
1702401984.1714067,60000,25.43564224243164
1702402065.6724932,65000,-10.538759231567383
1702402152.5208952,70000,29.40337562561035
1702402243.1347444,75000,-53.01013946533203
1702402332.6548197,80000,41.660221099853516
1702402422.8218522,85000,36.44241714477539
1702402511.348955,90000,32.4390983581543
1702402606.928672,95000,26.364999771118164
1702402701.682179,100000,34.541168212890625
1702402791.700654,105000,35.800018310546875
1702402878.442812,110000,15.707633018493652
1702402966.1871831,115000,39.16728210449219
1702403062.5165498,120000,25.11915397644043
1702403157.157931,125000,26.197649002075195
1702403252.0731041,130000,24.216936111450195
1702403345.5442045,135000,2.9334287643432617
1702403432.2195117,140000,-1.2670167684555054
1702403521.5024037,145000,28.99022102355957
1702403606.4175065,150000,-20.318174362182617
1702403692.6949804,155000,32.86051559448242
1702403776.486088,160000,26.743976593017578
1702403859.3412464,165000,29.07859230041504
1702403944.1083488,170000,16.147336959838867
1702404037.7935443,175000,12.016796112060547
1702404130.0728447,180000,17.811283111572266
1702404215.01371,185000,15.029507637023926
1702404302.1215158,190000,-3.0638656616210938
1702404386.1359375,195000,19.039262771606445
1702404468.2733107,200000,13.45786190032959
1702404552.1243694,205000,31.413667678833008
1702404638.629293,210000,13.352130889892578
1702404718.2724197,215000,37.533935546875
1702404797.3516011,220000,-6.99582576751709
1702404880.2813015,225000,-5.964606285095215
1702404963.7666256,230000,27.94382667541504
1702405045.4571812,235000,1.0886715650558472
1702405130.1602778,240000,28.650053024291992
1702405211.6810267,245000,26.78766441345215
1702405294.5132742,250000,-45.14219284057617
1702405374.6989927,255000,30.505817413330078
1702405454.9170878,260000,12.678250312805176
1702405534.0835588,265000,-12.129358291625977
1702405615.2824922,270000,28.32343101501465
1702405696.6321764,275000,18.150466918945312
1702405777.7958283,280000,-83.57691955566406
1702405857.7959003,285000,-37.05889129638672
1702405937.0194836,290000,20.82331085205078
1702406015.4097521,295000,-61.948787689208984
1702406094.287642,300000,-59.842777252197266
1702406177.8957877,305000,13.245992660522461
1702406271.6324914,310000,34.12258529663086
1702406364.0495708,315000,23.92906951904297
1702406443.9054718,320000,19.601634979248047
1702406525.6826859,325000,32.587886810302734
1702406621.4545107,330000,16.812040328979492
1702406714.1467967,335000,35.5821647644043
1702406806.9456527,340000,-24.57229232788086
1702406893.4128733,345000,13.33549976348877
1702406982.9091513,350000,-76.61190795898438
1702407070.3837168,355000,-240.89059448242188
1702407145.936092,360000,-218.11378479003906
1702407221.0207622,365000,-220.55535888671875
1702407297.22079,370000,-57.08553695678711
1702407378.0776322,375000,-0.8468415141105652
1702407459.0412967,380000,-15.070134162902832
1702407540.2668154,385000,6.905900001525879
1702407619.2610826,390000,2.966932773590088
1702407701.9264936,395000,-4.2440361976623535
1702407780.1078796,400000,-7.619907855987549
1702407858.2701485,405000,-67.71400451660156
1702407938.381736,410000,19.924654006958008
1702408016.407024,415000,-27.259469985961914
1702408096.6789715,420000,11.643454551696777
1702408174.2660992,425000,3.601313352584839
1702408253.3064709,430000,-38.129112243652344
1702408337.5083444,435000,-0.10788104683160782
1702408425.268598,440000,-8.325726509094238
1702408510.6473076,445000,15.582411766052246
1702408593.8867629,450000,-61.06901550292969
1702408681.9011545,455000,-21.116884231567383
1702408771.1221752,460000,9.096391677856445
1702408860.359521,465000,3.868969202041626
1702408948.9079382,470000,-38.066062927246094
1702409036.6001585,475000,9.107583999633789
1702409131.6883178,480000,0.08554935455322266
1702409218.7481017,485000,6.12985372543335
1702409303.999764,490000,28.210542678833008
1702409391.4310722,495000,23.11539077758789
1702409479.0066404,500000,19.69936180114746
1702409567.314928,505000,21.584928512573242
1702409656.6611872,510000,-22.327804565429688
1702409740.2271092,515000,26.847383499145508
1702409830.295948,520000,20.58294677734375
1702409916.1322057,525000,19.449785232543945
1702410001.7468832,530000,-18.990568161010742
1702410086.4832976,535000,4.982721328735352
1702410173.1488411,540000,-16.97243309020996
1702410258.2406428,545000,-6.065492630004883
1702410343.1301067,550000,19.016048431396484
