Wall time,Step,Value
1702401002.9559195,950,-101.35787200927734
1702401021.627475,2150,-30.209924697875977
1702401023.9088397,2300,-34.186649322509766
1702401032.3633163,2850,-42.643653869628906
1702401043.9365175,3600,1.1877247095108032
1702401046.1466274,3750,4.741636276245117
1702401061.6136024,4750,20.14409828186035
1702401108.8033674,7800,-73.37970733642578
1702401111.1899366,7950,-43.193153381347656
1702401117.854976,8400,-35.29137420654297
1702401165.186152,11500,29.45209503173828
1702401168.9039075,11750,30.271265029907227
1702401183.8163373,12800,21.91572380065918
1702401187.2785137,13050,29.61789894104004
1702401192.299916,13400,29.909337997436523
1702401196.723848,13700,29.445289611816406
1702401222.3434253,15450,31.417888641357422
1702401223.8494375,15550,31.569236755371094
1702401230.1758554,15950,31.417713165283203
1702401251.7091444,17400,31.498655319213867
1702401267.6845195,18400,29.735462188720703
1702401309.7990584,21100,30.908226013183594
1702401310.6579044,21150,30.891977310180664
1702401326.0646713,22150,30.638383865356445
1702401328.4306912,22300,30.686161041259766
1702401340.8761377,23050,30.859041213989258
1702401343.1405318,23200,30.886802673339844
1702401343.899252,23250,30.83949851989746
1702401351.803663,23750,31.315040588378906
1702401402.1718137,26850,31.00638771057129
1702401422.9651613,28200,30.76541519165039
1702401435.347843,29000,31.115713119506836
1702401440.8129246,29350,28.83707046508789
1702401441.6242373,29400,28.859024047851562
1702401467.2548065,31050,30.672021865844727
1702401478.0447357,31750,31.38718032836914
1702401484.35371,32150,31.321956634521484
1702401485.9591331,32250,31.292369842529297
1702401488.3133783,32400,31.209592819213867
1702401489.8664947,32500,31.627300262451172
1702401499.281347,33100,10.138773918151855
1702401507.2007225,33600,-42.03737258911133
1702401539.9788885,35750,32.28882598876953
1702401546.0813935,36150,32.18991470336914
1702401552.1736152,36550,32.401126861572266
1702401568.8174129,37650,-26.85888671875
1702401571.9811146,37850,-22.849159240722656
1702401579.0273454,38300,-32.4111442565918
1702401582.050756,38500,-33.2354736328125
1702401583.5453076,38600,-32.895469665527344
1702401594.3692079,39300,-2.0497260093688965
1702401595.8832164,39400,-0.016984429210424423
1702401599.7590048,39650,3.1690070629119873
1702401601.2999756,39750,1.7803189754486084
1702401607.5882404,40150,-76.61531066894531
1702401612.2480173,40450,-94.99779510498047
1702401613.0011551,40500,-95.370361328125
1702401633.347141,41850,-2.284454345703125
1702401691.4106677,45400,32.152984619140625
1702401693.3928645,45500,32.06464385986328
1702401720.262807,47150,32.78803634643555
1702401722.583455,47300,32.96067810058594
1702401735.771569,48150,34.73554611206055
1702401742.9613152,48600,34.09141159057617
1702401743.703007,48650,34.00139617919922
1702401748.2198262,48950,34.45515441894531
1702401748.9610996,49000,34.41376876831055
1702401752.7066028,49250,34.24561309814453
1702401766.682313,50150,34.296600341796875
1702401768.9007926,50300,34.40819549560547
1702401775.741796,50750,32.83748245239258
1702401813.6743412,53200,33.52445602416992
