Wall time,Step,Value
1702400989.5636916,950,-78.51583862304688
1702400993.608564,1250,-113.88565826416016
1702401007.3997257,2150,-113.67498779296875
1702401009.7761855,2300,-30.634374618530273
1702401019.0389583,2850,16.232440948486328
1702401031.366549,3600,8.923822402954102
1702401033.8730447,3750,9.902746200561523
1702401050.3409257,4750,12.66709041595459
1702401102.2225535,7800,27.223651885986328
1702401104.6414952,7950,27.123071670532227
1702401112.4327083,8400,23.751497268676758
1702401125.1471112,9200,25.61078453063965
1702401163.6842391,11500,24.389142990112305
1702401167.7753253,11750,27.107032775878906
1702401184.297456,12800,36.25524139404297
1702401188.1118252,13050,24.469247817993164
1702401193.553867,13400,16.67107582092285
1702401198.311195,13700,26.307966232299805
1702401226.2163594,15450,25.320175170898438
1702401227.9408052,15550,31.103870391845703
1702401234.703446,15950,25.032821655273438
1702401251.298774,17000,36.12544250488281
1702401258.3613307,17400,27.46843910217285
1702401275.7379935,18400,19.89179229736328
1702401321.169178,21100,37.36151123046875
1702401321.991991,21150,38.19276809692383
1702401339.489818,22150,23.75650978088379
1702401342.012597,22300,16.47577476501465
1702401354.6005533,23050,19.10275650024414
1702401357.1439946,23200,19.129304885864258
1702401357.9960907,23250,20.296464920043945
1702401366.932596,23750,24.32573127746582
1702401384.6828973,24700,37.028629302978516
1702401402.1688147,25750,14.971528053283691
1702401420.0581417,26850,4.410654067993164
1702401442.315627,28200,32.73704147338867
1702401455.7783978,29000,10.968039512634277
1702401461.6682887,29350,-18.51952362060547
1702401462.4819143,29400,-22.122644424438477
1702401489.9530377,31050,39.545814514160156
1702401501.7642505,31750,16.109066009521484
1702401507.705201,32100,9.90670394897461
1702401508.5546973,32150,17.98857307434082
1702401510.2600005,32250,32.42200469970703
1702401512.68472,32400,42.43217086791992
1702401514.305959,32500,36.83625411987305
1702401524.023358,33100,25.015670776367188
1702401532.1359518,33600,36.63436508178711
1702401567.1895227,35750,43.52211380004883
1702401573.7585292,36150,43.90610885620117
1702401580.4365964,36550,34.970455169677734
1702401598.4975626,37650,31.594879150390625
1702401601.7986317,37850,38.0761833190918
1702401609.3492434,38300,31.08785057067871
1702401612.6016076,38500,22.846765518188477
1702401614.2096295,38600,24.78331184387207
1702401621.4133677,39050,37.468727111816406
1702401625.5166206,39300,31.697914123535156
1702401627.1916006,39400,28.805561065673828
1702401631.3063211,39650,23.180313110351562
1702401632.9718714,39750,25.854373931884766
1702401636.2372777,39950,31.22590446472168
1702401639.5675366,40150,37.533103942871094
1702401644.5076315,40450,18.968460083007812
1702401645.3529308,40500,18.60063362121582
1702401665.3150377,41650,40.191925048828125
1702401668.942938,41850,31.404525756835938
1702401700.1971123,43500,30.10085105895996
1702401711.2861097,44150,10.759873390197754
1702401732.2046623,45400,5.470367431640625
1702401733.8572462,45500,15.843178749084473
1702401740.745882,45900,36.38359451293945
1702401761.3622808,47150,13.95991325378418
1702401763.8067029,47300,14.79297924041748
1702401771.1453726,47750,31.4394474029541
1702401777.779082,48150,35.35943603515625
1702401785.3909764,48600,39.820777893066406
1702401786.2438958,48650,40.90745162963867
1702401791.2530797,48950,38.290504455566406
1702401792.0778697,49000,37.2155876159668
1702401796.144321,49250,35.19272994995117
1702401810.9857037,50150,31.450820922851562
1702401813.4842803,50300,34.41417694091797
1702401820.944314,50750,40.98649215698242
1702401863.1945925,53200,30.39021873474121
1702401865.7586937,53350,19.021852493286133
1702401867.3931499,53450,8.416231155395508
1702401870.7751734,53650,7.551746845245361
1702401875.8052092,53950,26.796030044555664
1702401880.0903854,54200,13.345524787902832
1702401888.984844,54700,37.152591705322266
1702401894.331388,55000,39.67879867553711
1702401898.7319007,55250,31.592178344726562
1702401907.542373,55750,36.90889358520508
1702401944.7384915,57850,26.009199142456055
1702401948.5468566,58050,36.42518997192383
1702401949.5544772,58100,37.15657043457031
1702401950.4437208,58150,36.18544387817383
1702401967.1062052,59050,42.25722122192383
1702401978.932923,59700,23.928913116455078
1702401990.2094815,60350,18.22801399230957
1702402021.3884106,62250,12.799320220947266
1702402030.0524893,62800,14.329797744750977
1702402032.466086,62950,19.858285903930664
1702402034.8391237,63100,8.75787353515625
1702402051.0744665,64100,39.428611755371094
1702402056.0120249,64400,8.41429328918457
1702402061.6244178,64750,12.903369903564453
1702402079.9417448,65850,23.741188049316406
1702402082.5872967,66000,23.668596267700195
1702402092.0870795,66550,17.388978958129883
1702402094.6101432,66700,14.230015754699707
1702402097.1735644,66850,10.803375244140625
1702402098.0219269,66900,7.98341178894043
1702402140.2863634,69300,19.697341918945312
1702402145.37027,69600,27.32860565185547
1702402146.2616286,69650,32.35029220581055
1702402165.5342855,70750,12.30768871307373
1702402176.3865407,71350,33.05067443847656
1702402184.9321735,71850,25.593135833740234
1702402188.5027242,72050,30.2535343170166
1702402212.598328,73350,30.167831420898438
1702402222.5116782,73900,1.0765739679336548
